Date,BABA,FB
2016-01-04,76.69000244140625,102.22000122070312
2016-01-05,78.62999725341797,102.7300033569336
2016-01-06,77.33000183105469,102.97000122070312
2016-01-07,72.72000122070312,97.91999816894531
2016-01-08,70.80000305175781,97.33000183105469
2016-01-11,69.91999816894531,97.51000213623047
2016-01-12,72.68000030517578,99.37000274658203
2016-01-13,70.29000091552734,95.44000244140625
2016-01-14,72.25,98.37000274658203
2016-01-15,69.58999633789062,94.97000122070312
2016-01-19,70.12999725341797,95.26000213623047
2016-01-20,68.70999908447266,94.3499984741211
2016-01-21,70.72000122070312,94.16000366210938
2016-01-22,70.37000274658203,97.94000244140625
2016-01-25,69.72000122070312,97.01000213623047
2016-01-26,69.7699966430664,97.33999633789062
2016-01-27,69.54000091552734,94.44999694824219
2016-01-28,66.91999816894531,109.11000061035156
2016-01-29,67.02999877929688,112.20999908447266
2016-02-01,67.02999877929688,115.08999633789062
2016-02-02,65.08999633789062,114.61000061035156
2016-02-03,63.439998626708984,112.69000244140625
2016-02-04,64.86000061035156,110.48999786376953
2016-02-05,62.63999938964844,104.06999969482422
2016-02-08,61.099998474121094,99.75
2016-02-09,61.38999938964844,99.54000091552734
2016-02-10,61.779998779296875,101.0
2016-02-11,60.56999969482422,101.91000366210938
2016-02-12,60.88999938964844,102.01000213623047
2016-02-16,66.29000091552734,101.61000061035156
2016-02-17,66.37999725341797,105.19999694824219
2016-02-18,66.5199966430664,103.47000122070312
2016-02-19,67.27999877929688,104.56999969482422
2016-02-22,68.83999633789062,107.16000366210938
2016-02-23,66.97000122070312,105.45999908447266
2016-02-24,67.2300033569336,106.87999725341797
2016-02-25,66.66000366210938,108.06999969482422
2016-02-26,66.91000366210938,107.91999816894531
2016-02-29,68.80999755859375,106.91999816894531
2016-03-01,70.86000061035156,109.81999969482422
2016-03-02,71.25,109.94999694824219
2016-03-03,71.0199966430664,109.58000183105469
2016-03-04,72.22000122070312,108.38999938964844
2016-03-07,72.88999938964844,105.7300033569336
2016-03-08,71.06999969482422,105.93000030517578
2016-03-09,72.43000030517578,107.51000213623047
2016-03-10,71.97000122070312,107.31999969482422
2016-03-11,74.01000213623047,109.41000366210938
2016-03-14,73.3499984741211,109.88999938964844
2016-03-15,72.2300033569336,110.66999816894531
2016-03-16,73.5,112.18000030517578
2016-03-17,74.25,111.0199966430664
2016-03-18,76.25,111.44999694824219
2016-03-21,78.11000061035156,111.8499984741211
2016-03-22,78.18000030517578,112.25
2016-03-23,76.55999755859375,112.54000091552734
2016-03-24,75.86000061035156,113.05000305175781
2016-03-28,76.4800033569336,113.69000244140625
2016-03-29,78.08000183105469,116.13999938964844
2016-03-30,78.86000061035156,114.69999694824219
2016-03-31,79.02999877929688,114.0999984741211
2016-04-01,78.7300033569336,116.05999755859375
2016-04-04,79.08000183105469,112.55000305175781
2016-04-05,77.31999969482422,112.22000122070312
2016-04-06,78.68000030517578,113.70999908447266
2016-04-07,77.61000061035156,113.63999938964844
2016-04-08,77.47000122070312,110.62999725341797
2016-04-11,77.70999908447266,108.98999786376953
2016-04-12,77.86000061035156,110.61000061035156
2016-04-13,79.63999938964844,110.51000213623047
2016-04-14,79.61000061035156,110.83999633789062
2016-04-15,78.97000122070312,109.63999938964844
2016-04-18,79.01000213623047,110.44999694824219
2016-04-19,79.45999908447266,112.29000091552734
2016-04-20,81.20999908447266,112.41999816894531
2016-04-21,80.77999877929688,113.44000244140625
2016-04-22,79.88999938964844,110.55999755859375
2016-04-25,78.83999633789062,110.0999984741211
2016-04-26,78.61000061035156,108.76000213623047
2016-04-27,77.6500015258789,108.88999938964844
2016-04-28,76.4000015258789,116.7300033569336
2016-04-29,76.94000244140625,117.58000183105469
2016-05-02,76.61000061035156,118.56999969482422
2016-05-03,75.91000366210938,117.43000030517578
2016-05-04,75.81999969482422,118.05999755859375
2016-05-05,78.83000183105469,117.80999755859375
2016-05-06,79.19999694824219,119.48999786376953
2016-05-09,79.41000366210938,119.23999786376953
2016-05-10,79.72000122070312,120.5
2016-05-11,79.80000305175781,119.5199966430664
2016-05-12,79.16000366210938,120.27999877929688
2016-05-13,77.16000366210938,119.80999755859375
2016-05-16,79.29000091552734,118.66999816894531
2016-05-17,79.3499984741211,117.3499984741211
2016-05-18,79.02999877929688,117.6500015258789
2016-05-19,78.31999969482422,116.80999755859375
2016-05-20,78.79000091552734,117.3499984741211
2016-05-23,79.0,115.97000122070312
2016-05-24,81.12000274658203,117.69999694824219
2016-05-25,75.58999633789062,117.88999938964844
2016-05-26,78.3499984741211,119.47000122070312
2016-05-27,80.97000122070312,119.37999725341797
2016-05-31,82.0,118.80999755859375
2016-06-01,76.69000244140625,118.77999877929688
2016-06-02,77.30000305175781,118.93000030517578
2016-06-03,76.62000274658203,118.47000122070312
2016-06-06,78.05999755859375,118.79000091552734
2016-06-07,77.83999633789062,117.76000213623047
2016-06-08,77.63999938964844,118.38999938964844
2016-06-09,77.55999755859375,118.55999755859375
2016-06-10,75.91999816894531,116.62000274658203
2016-06-13,75.44999694824219,113.94999694824219
2016-06-14,77.7699966430664,114.94000244140625
2016-06-15,78.38999938964844,114.5999984741211
2016-06-16,78.2699966430664,114.38999938964844
2016-06-17,77.0,113.0199966430664
2016-06-20,78.1500015258789,113.37000274658203
2016-06-21,78.62000274658203,114.37999725341797
2016-06-22,78.7300033569336,113.91000366210938
2016-06-23,79.13999938964844,115.08000183105469
2016-06-24,76.29000091552734,112.08000183105469
2016-06-27,74.2300033569336,108.97000122070312
2016-06-28,76.27999877929688,112.69999694824219
