Date,SP500,SP500 Ret,Port Ret,Rolling_beta_1_week,Rolling_beta_2_week,Rolling_1_month
2018-12-11,2636.780029,-0.000154787,-0.000659987,-0.053791543,-0.006010648,-0.015730622
2018-12-12,2651.070068,0.002347306,0.01876981,-0.008547591,-0.006203709,-0.016541018
2018-12-13,2650.540039,-8.68E-05,0.003637291,-0.001882953,-0.006801695,-0.01663145
2018-12-14,2599.949951,-0.008369381,0.007694411,0.047650137,-0.007324067,-0.016200578
2018-12-17,2545.939941,-0.009116833,0.002389999,0.198418941,-0.003528092,-0.014525724
2018-12-18,2546.159912,3.75E-05,0.043631145,0.18393563,0.000715137,-0.008790844
2018-12-19,2506.959961,-0.006738278,-0.052410528,0.152291373,0.000920036,-0.005899096
2018-12-20,2467.419922,-0.006904331,0.014089351,0.082326923,0.035559598,0.004326915
2018-12-21,2416.620117,-0.00903468,-0.045311227,0.068476841,0.047746747,0.006830152
2018-12-24,2351.100098,-0.011937267,-0.00642778,0.080389711,0.061482061,0.016369264
2018-12-26,2467.699951,0.021021233,0.03927666,0.064447089,0.080700774,0.021439295
2018-12-27,2488.830078,0.003702894,-0.000282971,0.174790414,0.168752351,0.034137412
2018-12-28,2485.73999,-0.000539547,-0.013847289,0.180764402,0.164042021,0.033920852
2018-12-31,2506.850098,0.003672666,-0.003323493,0.179558984,0.159154866,0.032970856
2019-01-02,2510.030029,0.000550552,0.036751302,0.24248528,0.152289522,0.03154949
2019-01-03,2447.889893,-0.010887038,0.009985988,0.230116137,0.155154713,0.032098932
2019-01-04,2531.939941,0.014661521,-0.012465786,0.233062788,0.14946663,0.032858416
2019-01-07,2549.689941,0.003033971,-0.019749366,0.161999913,0.119659774,0.024019606
2019-01-08,2574.409912,0.004190328,0.009932157,0.091912249,0.106618778,0.020953722
2019-01-09,2584.959961,0.001776122,-0.017832904,-0.135920877,0.116118024,0.020939775
2019-01-10,2596.639893,0.001957904,0.001101462,-0.116960829,0.112832583,0.017895175
2019-01-11,2596.26001,-6.35E-05,-0.000667004,-0.141063195,0.142622933,0.06885042
2019-01-14,2582.610107,-0.002289338,0.022785418,-0.138065896,0.139364618,0.073081547
2019-01-15,2610.300049,0.004631585,0.014918611,-0.241476028,0.13802412,0.073203112
2019-01-16,2616.100098,0.000963926,-0.031903163,-0.121238907,0.097889356,0.082449385
2019-01-17,2635.959961,0.003284452,-0.001146663,-0.009392106,0.065041448,0.078364173
2019-01-18,2670.709961,0.005687917,0.005865576,-0.000165641,-0.075742649,0.080123864
2019-01-22,2632.899902,-0.006192378,0.010631739,7.96E-06,-0.069990284,0.084987047
2019-01-23,2638.699951,0.000955661,-0.021726292,-0.037474621,-0.098487468,0.079318275
2019-01-24,2642.330078,0.000597059,-0.010956942,-0.029276527,-0.083366767,0.08133625
2019-01-25,2664.76001,0.003671034,0.003191665,-0.026714123,-0.102971691,0.080132076
2019-01-28,2643.850098,-0.003421275,-0.00881281,0.02108092,-0.053654071,0.079876058
2019-01-29,2640,-0.000632901,-0.011326393,-0.009791029,-0.008486075,0.081675146
2019-01-30,2681.050049,0.006700994,-0.010798055,0.002982757,0.006574159,0.087525724
2019-01-31,2704.100098,0.003717843,0.094095161,-0.051321134,-0.021627711,0.085915613
2019-02-01,2706.530029,0.000390086,-0.003224924,0.021094735,0.015608278,0.071711392
2019-02-04,2724.870117,0.002932956,0.027697306,0.026088994,0.016209675,0.060178077
2019-02-05,2737.699951,0.002040042,-0.014974876,0.028063327,0.018108919,0.066215238
2019-02-06,2731.610107,-0.000967137,-0.002361451,0.024282944,0.023278624,0.042936579
2019-02-07,2706.050049,-0.004082886,-0.001113263,0.028428714,0.021155162,0.036068596
2019-02-08,2707.879883,0.000293571,0.003625398,0.025937862,0.02472037,-0.005849445
2019-02-11,2709.800049,0.00030785,-0.009710679,0.023192288,0.025905925,-0.00564589
2019-02-12,2744.72998,0.00556238,-0.011013296,0.039450282,0.024738621,-0.006839538
2019-02-13,2753.030029,0.001311322,-0.009422203,0.001668213,0.024136614,-0.009559173
2019-02-14,2745.72998,-0.001153123,0.00448811,-0.001605534,0.024435163,-0.008226599
2019-02-15,2775.600098,0.004699068,0.002639698,-0.240958754,0.023746096,-0.000310968
2019-02-19,2779.76001,0.000650409,-0.022006715,-0.155257626,0.023541316,0.012262572
2019-02-20,2784.699951,0.000771104,-0.001025285,-0.062480936,0.018914134,0.015743368
2019-02-21,2774.879883,-0.001534219,-0.020419876,-0.028813088,0.016681242,0.013818243
2019-02-22,2792.669922,0.002775419,-0.014592792,0.051421421,0.028763116,0.018443698
2019-02-25,2796.110107,0.000534662,-0.013660637,0.036336253,0.014238772,0.016377694
2019-02-26,2793.899902,-0.000343427,-0.004347604,0.051546854,0.01582657,0.016708902
2019-02-27,2792.379883,-0.000236342,-0.012958594,0.042809182,-0.038405189,0.02380152
2019-02-28,2784.48999,-0.00122884,-0.001099822,0.114307332,-0.024309891,0.020628404
2019-03-01,2803.689941,0.002984323,0.00112317,-0.021120071,-0.027482226,0.021795859
2019-03-04,2792.810059,-0.001688584,0.015186942,0.051922438,0.019564737,0.022133224
2019-03-05,2789.649902,-0.000491697,0.033424272,-0.027175864,-0.021543733,0.015658678
