Date,BABA,FB
2018-02-01,192.22000122070312,193.08999633789062
2018-02-02,187.30999755859375,190.27999877929688
2018-02-05,180.52999877929688,181.25999450683594
2018-02-06,185.1699981689453,185.30999755859375
2018-02-07,180.3000030517578,180.17999267578125
2018-02-08,173.6999969482422,171.5800018310547
2018-02-09,176.6699981689453,176.11000061035156
2018-02-12,177.44000244140625,176.41000366210938
2018-02-13,179.25,173.14999389648438
2018-02-14,186.75999450683594,179.52000427246094
2018-02-15,187.4499969482422,179.9600067138672
2018-02-16,183.67999267578125,177.36000061035156
2018-02-20,187.19000244140625,176.00999450683594
2018-02-21,188.82000732421875,177.91000366210938
2018-02-22,188.75,178.99000549316406
2018-02-23,193.2899932861328,183.2899932861328
2018-02-26,194.19000244140625,184.92999267578125
2018-02-27,188.25999450683594,181.4600067138672
2018-02-28,186.13999938964844,178.32000732421875
2018-03-01,181.99000549316406,175.94000244140625
2018-03-02,179.75999450683594,176.6199951171875
2018-03-05,181.60000610351562,180.39999389648438
2018-03-06,187.3699951171875,179.77999877929688
2018-03-07,189.0500030517578,183.7100067138672
2018-03-08,187.17999267578125,182.33999633789062
2018-03-09,190.5500030517578,185.22999572753906
2018-03-12,192.74000549316406,184.75999450683594
2018-03-13,188.41000366210938,181.8800048828125
2018-03-14,192.55999755859375,184.19000244140625
2018-03-15,199.05999755859375,183.86000061035156
2018-03-16,200.27999877929688,185.08999633789062
2018-03-19,194.52999877929688,172.55999755859375
2018-03-20,198.9499969482422,168.14999389648438
2018-03-21,195.3000030517578,169.38999938964844
2018-03-22,184.64999389648438,164.88999938964844
2018-03-23,181.1999969482422,159.38999938964844
2018-03-26,190.5,160.05999755859375
2018-03-27,181.88999938964844,152.22000122070312
2018-03-28,178.91000366210938,153.02999877929688
2018-03-29,183.5399932861328,159.7899932861328
2018-04-02,177.61000061035156,155.38999938964844
2018-04-03,174.6699981689453,156.11000061035156
2018-04-04,172.07000732421875,155.10000610351562
2018-04-05,172.57000732421875,159.33999633789062
2018-04-06,167.52000427246094,157.1999969482422
2018-04-09,169.8699951171875,157.92999267578125
2018-04-10,177.10000610351562,165.0399932861328
2018-04-11,175.36000061035156,166.32000732421875
2018-04-12,175.9199981689453,163.8699951171875
2018-04-13,172.0399932861328,164.52000427246094
2018-04-16,174.6999969482422,164.8300018310547
2018-04-17,178.6999969482422,168.66000366210938
2018-04-18,182.67999267578125,166.36000061035156
2018-04-19,181.38999938964844,168.10000610351562
2018-04-20,179.11000061035156,166.27999877929688
2018-04-23,175.57000732421875,165.83999633789062
2018-04-24,173.08999633789062,159.69000244140625
2018-04-25,170.22000122070312,159.69000244140625
2018-04-26,173.89999389648438,174.16000366210938
2018-04-27,177.16000366210938,173.58999633789062
2018-04-30,178.5399932861328,172.0
2018-05-01,179.5,173.86000061035156
2018-05-02,181.4499969482422,176.07000732421875
2018-05-03,182.4499969482422,174.02000427246094
2018-05-04,188.88999938964844,176.61000061035156
2018-05-07,195.35000610351562,177.97000122070312
2018-05-08,196.30999755859375,178.9199981689453
2018-05-09,195.42999267578125,182.66000366210938
2018-05-10,195.9600067138672,185.52999877929688
2018-05-11,194.36000061035156,186.99000549316406
2018-05-14,198.63999938964844,186.63999938964844
2018-05-15,196.61000061035156,184.32000732421875
2018-05-16,198.11000061035156,183.1999969482422
2018-05-17,196.02000427246094,183.75999450683594
2018-05-18,195.0,182.67999267578125
2018-05-21,197.63999938964844,184.49000549316406
2018-05-22,195.8699951171875,183.8000030517578
2018-05-23,196.8000030517578,186.89999389648438
2018-05-24,197.3699951171875,185.92999267578125
2018-05-25,199.1999969482422,184.9199981689453
2018-05-29,198.0,185.74000549316406
2018-05-30,197.97999572753906,187.6699981689453
2018-05-31,198.00999450683594,191.77999877929688
2018-06-01,204.33999633789062,193.99000549316406
2018-06-04,208.9499969482422,193.27999877929688
2018-06-05,208.3699951171875,192.94000244140625
2018-06-06,208.3000030517578,191.33999633789062
2018-06-07,203.6199951171875,188.17999267578125
2018-06-08,205.07000732421875,189.10000610351562
2018-06-11,205.6999969482422,191.5399932861328
2018-06-12,209.0800018310547,192.39999389648438
2018-06-13,206.6199951171875,192.41000366210938
2018-06-14,210.86000061035156,196.80999755859375
2018-06-15,208.0,195.85000610351562
2018-06-18,208.57000732421875,198.30999755859375
2018-06-19,204.42999267578125,197.49000549316406
2018-06-20,206.22999572753906,202.0
2018-06-21,202.2100067138672,201.5
2018-06-22,202.00999450683594,201.74000549316406
2018-06-25,191.25,196.35000610351562
2018-06-26,191.4199981689453,199.0
2018-06-27,185.02000427246094,195.83999633789062
2018-06-28,188.3800048828125,196.22999572753906
2018-06-29,185.52999877929688,194.32000732421875
2018-07-02,186.36000061035156,197.36000061035156
2018-07-03,184.75,192.72999572753906
2018-07-05,186.8800048828125,198.4499969482422
2018-07-06,192.27000427246094,203.22999572753906
2018-07-09,192.75,204.74000549316406
2018-07-10,192.5500030517578,203.5399932861328
2018-07-11,187.4199981689453,202.5399932861328
2018-07-12,190.1699981689453,206.9199981689453
2018-07-13,190.0399932861328,207.32000732421875
2018-07-16,190.35000610351562,207.22999572753906
2018-07-17,192.66000366210938,209.99000549316406
2018-07-18,190.7899932861328,209.36000061035156
2018-07-19,187.33999633789062,208.08999633789062
2018-07-20,187.25,209.94000244140625
2018-07-23,187.0399932861328,210.91000366210938
2018-07-24,189.0,214.6699981689453
2018-07-25,197.97999572753906,217.5
2018-07-26,194.17999267578125,176.25999450683594
2018-07-27,189.4199981689453,174.88999938964844
2018-07-30,184.82000732421875,171.05999755859375
2018-07-31,187.22999572753906,172.5800018310547
2018-08-01,185.27000427246094,171.64999389648438
2018-08-02,182.60000610351562,176.3699951171875
2018-08-03,180.83999633789062,177.77999877929688
2018-08-06,178.6199951171875,185.69000244140625
2018-08-07,179.9199981689453,183.80999755859375
2018-08-08,177.52000427246094,185.17999267578125
2018-08-09,177.19000244140625,183.08999633789062
2018-08-10,180.00999450683594,180.25999450683594
2018-08-13,177.67999267578125,180.0500030517578
2018-08-14,172.52999877929688,181.11000061035156
2018-08-15,169.8300018310547,179.52999877929688
2018-08-16,171.99000549316406,174.6999969482422
2018-08-17,172.77999877929688,173.8000030517578
2018-08-20,176.2899932861328,172.5
2018-08-21,177.9199981689453,172.6199951171875
2018-08-22,177.85000610351562,173.63999938964844
2018-08-23,172.22999572753906,172.89999389648438
2018-08-24,174.22999572753906,174.64999389648438
2018-08-27,180.64999389648438,177.4600067138672
2018-08-28,178.19000244140625,176.25999450683594
2018-08-29,178.5,175.89999389648438
2018-08-30,174.60000610351562,177.63999938964844
2018-08-31,175.00999450683594,175.72999572753906
2018-09-04,170.44000244140625,171.16000366210938
2018-09-05,164.22999572753906,167.17999267578125
2018-09-06,159.8699951171875,162.52999877929688
2018-09-07,162.3699951171875,163.0399932861328
2018-09-10,156.36000061035156,164.17999267578125
2018-09-11,157.4600067138672,165.94000244140625
2018-09-12,161.4600067138672,162.0
2018-09-13,165.52999877929688,161.36000061035156
2018-09-14,164.74000549316406,162.32000732421875
2018-09-17,158.88999938964844,160.5800018310547
2018-09-18,156.64999389648438,160.3000030517578
2018-09-19,162.6300048828125,163.05999755859375
2018-09-20,165.8800048828125,166.02000427246094
2018-09-21,164.6300048828125,162.92999267578125
2018-09-24,163.16000366210938,165.41000366210938
2018-09-25,164.25,164.91000366210938
2018-09-26,165.39999389648438,166.9499969482422
2018-09-27,166.32000732421875,168.83999633789062
2018-09-28,164.75999450683594,164.4600067138672
2018-10-01,162.0,162.44000244140625
2018-10-02,160.22999572753906,159.3300018310547
2018-10-03,162.3699951171875,162.42999267578125
2018-10-04,156.1300048828125,158.85000610351562
2018-10-05,154.6300048828125,157.3300018310547
2018-10-08,151.13999938964844,157.25
2018-10-09,146.94000244140625,157.89999389648438
2018-10-10,138.2899932861328,151.3800048828125
2018-10-11,141.89999389648438,153.35000610351562
2018-10-12,147.2899932861328,153.74000549316406
2018-10-15,144.16000366210938,153.52000427246094
2018-10-16,149.60000610351562,158.77999877929688
2018-10-17,148.13999938964844,159.4199981689453
2018-10-18,142.02000427246094,154.9199981689453
2018-10-19,142.92999267578125,154.0500030517578
2018-10-22,148.8000030517578,154.77999877929688
2018-10-23,146.64999389648438,154.38999938964844
2018-10-24,139.61000061035156,146.0399932861328
2018-10-25,144.60000610351562,150.9499969482422
2018-10-26,142.8699951171875,145.3699951171875
2018-10-29,133.3800048828125,142.08999633789062
2018-10-30,136.3300018310547,146.22000122070312
2018-10-31,142.27999877929688,151.7899932861328
2018-11-01,151.25,151.75
2018-11-02,147.58999633789062,150.35000610351562
2018-11-05,144.63999938964844,148.67999267578125
2018-11-06,147.44000244140625,149.94000244140625
2018-11-07,152.5,151.52999877929688
2018-11-08,148.99000549316406,147.8699951171875
2018-11-09,144.85000610351562,144.9600067138672
2018-11-12,142.82000732421875,141.5500030517578
2018-11-13,146.97999572753906,142.16000366210938
2018-11-14,150.44000244140625,144.22000122070312
2018-11-15,156.22000122070312,143.85000610351562
2018-11-16,154.10000610351562,139.52999877929688
2018-11-19,149.52999877929688,131.5500030517578
2018-11-20,145.97999572753906,132.42999267578125
2018-11-21,149.41000366210938,134.82000732421875
2018-11-23,150.3300018310547,131.72999572753906
2018-11-26,156.00999450683594,136.3800048828125
2018-11-27,156.4600067138672,135.0
2018-11-28,159.33999633789062,136.75999450683594
2018-11-29,156.27999877929688,138.67999267578125
2018-11-30,160.86000061035156,140.61000061035156
2018-12-03,163.74000549316406,141.08999633789062
2018-12-04,158.33999633789062,137.92999267578125
2018-12-06,155.8300018310547,139.6300048828125
2018-12-07,153.05999755859375,137.4199981689453
2018-12-10,151.42999267578125,141.85000610351562
2018-12-11,151.8300018310547,142.0800018310547
2018-12-12,151.5,144.5
2018-12-13,151.47999572753906,145.00999450683594
2018-12-14,149.0,144.05999755859375
2018-12-17,143.97999572753906,140.19000244140625
2018-12-18,140.82000732421875,143.66000366210938
2018-12-19,137.13999938964844,133.24000549316406
2018-12-20,135.11000061035156,133.39999389648438
2018-12-21,132.0,124.94999694824219
2018-12-24,131.88999938964844,124.05999755859375
